Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
61, 2, 1400, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
60, 1, 700, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
59, 3, 2100, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
57, 2, 1400, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
56, 3, 2100, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
55, 1, 700, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54, 1, 700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
52, 2, 1400, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
51, 4, 2800, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
50, 3, 1950, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
49, 4, 2600, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
48, 2, 1300, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
47, 2, 1300, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
46, 3, 1950, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1
45, 2, 1300, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
44, 3, 1950, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1
43, 1, 650, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
42, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
41, 1, 650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
40, 6, 3900, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0
