Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
61, 1, 3600, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
60, 9, 32400, 0, 0, 7, 0, 0, 0, 0, 1, 1, 0, 0, 0
59, 3, 10800, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0
58, 3, 10800, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
57, 3, 10800, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
56, 5, 18000, 1, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0
55, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
54, 5, 18000, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0
53, 8, 28800, 0, 3, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0
52, 3, 10800, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
51, 4, 14400, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0
49, 2, 7200, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
48, 4, 14400, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0
47, 4, 14400, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
45, 2, 7200, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
44, 1, 3600, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
42, 6, 21600, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
41, 2, 7200, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0
40, 3, 10800, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0
39, 1, 3600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
38, 7, 25200, 4, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0
37, 3, 10800, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
36, 3, 10800, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0
35, 3, 10800, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0
34, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
33, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
31, 9, 32400, 0, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0
30, 2, 7200, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
29, 5, 18000, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1
27, 3, 10800, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26, 10, 36000, 0, 0, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0
25, 3, 10800, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 10, 36000, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19, 4, 14400, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, 1, 3600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 7, 25200, 0, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
15, 1, 3600, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
14, 3, 10800, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
13, 1, 3600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, 2, 7200, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 2, 7200, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
