Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
61, 5, 49500, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0
59, 1, 9900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
56, 1, 9900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
52, 2, 19800, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
51, 2, 19800, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
46, 1, 9900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
37, 1, 9900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
36, 1, 9900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
35, 1, 9900, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30, 1, 9900, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
29, 1, 9900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
