Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
49, 1, 1875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
47, 2, 3750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
46, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
44, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
38, 1, 1875, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
37, 3, 5625, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36, 1, 1875, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
35, 1, 1875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
34, 2, 3750, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
33, 1, 1875, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
30, 4, 7500, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0
28, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
27, 3, 5625, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0
25, 3, 5625, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1
20, 3, 5625, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
18, 2, 3750, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
15, 1, 1875, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 4, 7500, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
