Day, Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O,
6, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 41,  3, 4050, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0,
4, 41,  4, 1200, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2,
5, 41,  2, 240, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0,
6, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 41,  3, 420, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 42,  6, 840, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0,
5, 42,  2, 7200, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,
6, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 42,  1, 1950, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,
1, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 43,  10, 1300, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 43,  16, 2400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16,
6, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 44,  26, 3380, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 44,  3, 3900, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2,
4, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 44,  3, 420, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 45,  2, 240, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 45,  1, 3600, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0,
4, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 45,  8, 960, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 46,  2, 240, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 47,  10, 1400, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0,
3, 47,  2, 300, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 47,  18, 2700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18,
5, 47,  2, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,
6, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 47,  1, 750, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 48,  1, 3600, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,
7, 48,  2, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,
1, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 49,  1, 3600, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 50,  1, 3600, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
