Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
2015-10-06, 1, 3600, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-28, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-09-23, 1, 3600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-19, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-16, 1, 3600, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
2015-09-12, 2, 7200, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-10, 2, 7200, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-08, 4, 14400, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-28, 1, 3600, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-25, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-08-22, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-14, 2, 7200, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-11, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-29, 4, 14400, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-28, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-22, 2, 7200, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-14, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-11, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-16, 2, 7200, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-02, 1, 3600, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-05-09, 1, 3600, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-05-05, 1, 3600, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-05-04, 4, 14400, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-23, 1, 3600, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-21, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-14, 2, 7200, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-02, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-03-29, 6, 21600, 0, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0
